Father.edu,Age,Science..
Secondary,13 years,29.09
Sr secondary,14 years,23.64
Secondary,13 years,NA
Secondary,13 years,NA
Secondary,13 years,NA
Illiterate,14 years,36.36
Secondary,14 years,NA
Secondary,13 years,NA
Illiterate,15 years,NA
Secondary,14 years,NA
Primary,15 years,NA
Secondary,14 years,NA
,13 years,NA
,14 years,41.82
Secondary,14 years,56.36
Primary,13 years,50.91
Secondary,14 years,54.55
Primary,13 years,45.45
Secondary,14 years,54.55
Secondary,13 years,50.91
Primary,14 years,NA
Secondary,14 years,NA
Illiterate,14 years,NA
Primary,13 years,NA
Secondary,16+ years,NA
Illiterate,14 years,23.64
Sr secondary,14 years,36.36
Primary,14 years,47.27
Primary,14 years,38.18
Illiterate,14 years,32.73
Secondary,14 years,30.91
Illiterate,14 years,30.91
,14 years,34.55
Primary,14 years,34.55
Sr secondary,14 years,36.36
Primary,14 years,41.82
Secondary,14 years,50.91
Primary,14 years,58.18
Illiterate,12 years,NA
Illiterate,14 years,NA
Secondary,,NA
Primary,14 years,NA
Sr secondary,14 years,NA
Secondary,15 years,NA
Illiterate,15 years,NA
Primary,14 years,NA
Primary,16+ years,10.91
,14 years,10.91
Primary,14 years,NA
Illiterate,,NA
Illiterate,14 years,36.36
Secondary,14 years,16.36
Primary,14 years,NA
Secondary,15 years,NA
Secondary,13 years,41.82
Primary,13 years,38.18
Illiterate,14 years,NA
Secondary,13 years,NA
Primary,11- years,32.73
Illiterate,16+ years,29.09
Secondary,13 years,NA
Primary,14 years,32.73
,14 years,34.55
Primary,15 years,NA
Primary,16+ years,30.91
Illiterate,13 years,29.09
Primary,16+ years,NA
Primary,13 years,NA
Primary,15 years,45.45
Secondary,15 years,32.73
Primary,14 years,NA
Primary,14 years,52.73
Illiterate,15 years,34.55
Primary,14 years,NA
Primary,15 years,NA
Illiterate,16+ years,21.82
Primary,15 years,47.27
Secondary,16+ years,NA
Secondary,14 years,NA
Primary,14 years,18.18
Illiterate,14 years,36.36
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,40
Illiterate,14 years,32.73
Primary,14 years,NA
Primary,15 years,NA
Primary,14 years,21.82
Primary,15 years,NA
Primary,13 years,NA
Illiterate,14 years,NA
Primary,15 years,21.82
Illiterate,14 years,30.91
Primary,14 years,NA
Illiterate,14 years,NA
Primary,14 years,21.82
Primary,14 years,NA
Primary,14 years,NA
Illiterate,15 years,NA
Primary,14 years,40
Illiterate,14 years,20
Illiterate,15 years,NA
Primary,14 years,14.55
Primary,14 years,NA
Illiterate,14 years,NA
Primary,14 years,23.64
Primary,15 years,NA
Primary,13 years,30.91
Primary,15 years,54.55
Illiterate,14 years,NA
Primary,14 years,34.55
Illiterate,15 years,36.36
Degree & above,12 years,NA
Degree & above,13 years,NA
Illiterate,14 years,30.91
Illiterate,,38.18
Illiterate,13 years,NA
Degree & above,13 years,34.55
Secondary,16+ years,27.27
Sr secondary,13 years,NA
,13 years,47.27
Sr secondary,13 years,34.55
Primary,13 years,NA
Degree & above,13 years,NA
Secondary,13 years,27.27
Degree & above,13 years,NA
Primary,14 years,NA
Illiterate,14 years,20
Secondary,14 years,NA
Primary,14 years,NA
Secondary,14 years,45.45
Degree & above,13 years,34.55
Secondary,14 years,NA
Primary,15 years,25.45
Illiterate,15 years,34.55
Secondary,13 years,NA
,14 years,NA
Illiterate,15 years,29.09
Primary,13 years,30.91
,15 years,NA
Secondary,13 years,38.18
Primary,13 years,NA
Primary,13 years,NA
Primary,13 years,40
Primary,14 years,NA
,13 years,NA
Primary,14 years,32.73
Primary,14 years,NA
Primary,13 years,NA
Illiterate,14 years,36.36
Primary,14 years,NA
Primary,14 years,NA
Primary,13 years,40
Primary,14 years,43.64
Primary,12 years,NA
Primary,14 years,NA
Primary,12 years,34.55
Degree & above,14 years,52.73
Secondary,13 years,NA
Secondary,13 years,NA
Secondary,14 years,49.09
Primary,14 years,43.64
Primary,13 years,NA
Primary,13 years,NA
Sr secondary,13 years,41.82
Secondary,13 years,49.09
Primary,13 years,NA
Primary,13 years,NA
Illiterate,13 years,29.09
Primary,15 years,23.64
Primary,13 years,NA
Primary,15 years,NA
Illiterate,14 years,52.73
Primary,13 years,40
Primary,13 years,NA
Primary,13 years,NA
Primary,14 years,29.09
Illiterate,13 years,40
Primary,13 years,NA
Sr secondary,15 years,NA
Primary,14 years,49.09
Primary,14 years,47.27
Primary,13 years,NA
Illiterate,,NA
Primary,14 years,34.55
Primary,14 years,41.82
Primary,14 years,NA
Illiterate,15 years,NA
Illiterate,,52.73
Primary,14 years,30.91
Sr secondary,13 years,50.91
Secondary,13 years,43.64
,14 years,NA
Secondary,14 years,NA
Degree & above,14 years,40
Degree & above,14 years,60
Sr secondary,14 years,NA
,14 years,NA
Sr secondary,13 years,45.45
Sr secondary,14 years,63.64
Primary,14 years,NA
,13 years,NA
Secondary,13 years,21.82
Secondary,14 years,58.18
Primary,13 years,NA
Primary,14 years,NA
,14 years,43.64
,14 years,36.36
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,12 years,34.55
Primary,13 years,47.27
Secondary,15 years,NA
Sr secondary,14 years,NA
Illiterate,16+ years,NA
Secondary,11- years,27.27
Sr secondary,12 years,NA
Secondary,14 years,NA
Secondary,14 years,34.55
Secondary,14 years,40
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,13 years,45.45
Secondary,13 years,NA
Secondary,13 years,NA
Secondary,14 years,30.91
Secondary,13 years,NA
Secondary,14 years,NA
Secondary,15 years,47.27
Secondary,13 years,47.27
Sr secondary,12 years,NA
Sr secondary,13 years,NA
Secondary,14 years,43.64
Secondary,13 years,38.18
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,13 years,38.18
Secondary,13 years,43.64
,15 years,NA
Secondary,13 years,NA
,14 years,38.18
Secondary,15 years,47.27
Sr secondary,13 years,NA
Secondary,14 years,NA
Secondary,14 years,30.91
Secondary,14 years,43.64
Secondary,14 years,NA
Primary,14 years,NA
Primary,15 years,29.09
Primary,14 years,NA
Primary,14 years,NA
Primary,15 years,21.82
Primary,15 years,NA
Primary,16+ years,NA
Primary,13 years,34.55
Illiterate,14 years,27.27
Sr secondary,14 years,NA
Primary,14 years,NA
Primary,14 years,50.91
Primary,13 years,38.18
Degree & above,13 years,NA
Primary,14 years,NA
Primary,13 years,36.36
Primary,14 years,45.45
Secondary,14 years,NA
Primary,16+ years,NA
Secondary,13 years,47.27
Illiterate,13 years,54.55
Secondary,13 years,NA
,15 years,NA
Secondary,13 years,54.55
Secondary,14 years,60
Secondary,13 years,NA
Secondary,,NA
Sr secondary,16+ years,NA
Sr secondary,16+ years,NA
Secondary,12 years,NA
Secondary,14 years,NA
Illiterate,14 years,38.18
Secondary,14 years,32.73
Sr secondary,12 years,NA
Secondary,12 years,NA
Secondary,13 years,32.73
Secondary,12 years,29.09
Primary,16+ years,NA
Primary,14 years,20
Illiterate,16+ years,20
,13 years,NA
Illiterate,14 years,NA
Primary,15 years,29.09
Primary,13 years,63.64
Primary,16+ years,NA
Primary,15 years,NA
Primary,14 years,36.36
Illiterate,14 years,49.09
Illiterate,14 years,NA
Primary,15 years,NA
Primary,15 years,38.18
Illiterate,15 years,36.36
Illiterate,13 years,NA
Primary,14 years,NA
Primary,15 years,14.55
Primary,14 years,29.09
Primary,13 years,NA
Primary,13 years,NA
,14 years,36.36
Illiterate,14 years,23.64
Illiterate,15 years,NA
Illiterate,14 years,NA
,14 years,25.45
Secondary,14 years,16.36
Illiterate,14 years,NA
Illiterate,14 years,25.45
Illiterate,14 years,20
Illiterate,16+ years,NA
Illiterate,14 years,NA
Illiterate,12 years,NA
Primary,14 years,32.73
Illiterate,16+ years,NA
Illiterate,14 years,NA
Primary,13 years,34.55
Illiterate,16+ years,27.27
Illiterate,14 years,NA
,14 years,NA
,13 years,38.18
Secondary,15 years,36.36
Primary,15 years,NA
Primary,13 years,NA
Illiterate,14 years,18.18
Secondary,13 years,36.36
Sr secondary,15 years,NA
,16+ years,NA
Primary,14 years,32.73
Sr secondary,12 years,43.64
,14 years,NA
Primary,15 years,NA
,16+ years,29.09
Secondary,15 years,36.36
,13 years,NA
Secondary,14 years,NA
,14 years,36.36
Secondary,13 years,49.09
Secondary,14 years,NA
,,NA
Degree & above,13 years,63.64
,14 years,NA
Secondary,14 years,NA
Sr secondary,13 years,50.91
Illiterate,13 years,NA
,13 years,NA
,15 years,50.91
Secondary,15 years,52.73
Secondary,13 years,NA
Illiterate,15 years,NA
Secondary,14 years,60
Sr secondary,15 years,43.64
,13 years,NA
,13 years,NA
Secondary,15 years,16.36
Secondary,14 years,34.55
Illiterate,13 years,NA
Illiterate,14 years,NA
Secondary,12 years,25.45
Secondary,14 years,56.36
Illiterate,13 years,NA
,13 years,NA
Primary,15 years,45.45
Illiterate,13 years,29.09
Primary,13 years,NA
,12 years,NA
Illiterate,15 years,30.91
Secondary,14 years,56.36
Primary,13 years,NA
Secondary,13 years,NA
,14 years,43.64
Illiterate,15 years,41.82
Secondary,14 years,NA
,13 years,NA
Primary,13 years,41.82
Secondary,13 years,58.18
Primary,13 years,NA
Primary,13 years,NA
Secondary,14 years,NA
Primary,14 years,NA
Illiterate,16+ years,NA
Illiterate,15 years,NA
Illiterate,14 years,NA
Illiterate,14 years,NA
Illiterate,16+ years,NA
Secondary,13 years,NA
Secondary,13 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,NA
,15 years,NA
Illiterate,14 years,NA
,16+ years,NA
,16+ years,NA
Secondary,13 years,NA
Secondary,13 years,27.27
Primary,14 years,32.73
Primary,14 years,38.18
Sr secondary,14 years,36.36
,16+ years,0
Secondary,14 years,50.91
Secondary,14 years,29.09
Illiterate,15 years,32.73
,16+ years,34.55
Secondary,14 years,45.45
Secondary,16+ years,30.91
Illiterate,16+ years,36.36
Sr secondary,16+ years,20
,14 years,36.36
,15 years,30.91
,16+ years,32.73
,12 years,21.82
Degree & above,14 years,49.09
Secondary,14 years,NA
Secondary,13 years,NA
Primary,13 years,32.73
Illiterate,14 years,27.27
Illiterate,13 years,NA
Primary,13 years,NA
Primary,13 years,20
Primary,16+ years,18.18
Illiterate,13 years,NA
Secondary,13 years,NA
Illiterate,14 years,NA
Secondary,14 years,NA
Illiterate,15 years,NA
Primary,13 years,29.09
Secondary,14 years,30.91
Secondary,14 years,NA
Secondary,12 years,NA
Sr secondary,14 years,27.27
Primary,14 years,52.73
Secondary,13 years,NA
Illiterate,13 years,NA
Illiterate,13 years,18.18
Sr secondary,14 years,NA
Illiterate,14 years,NA
Primary,13 years,16.36
Illiterate,14 years,40
,13 years,NA
Secondary,13 years,NA
Illiterate,14 years,27.27
,14 years,21.82
,13 years,NA
,15 years,NA
Primary,16+ years,18.18
Illiterate,13 years,25.45
,13 years,NA
Secondary,14 years,NA
Secondary,16+ years,21.82
Primary,13 years,NA
Primary,14 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Secondary,13 years,NA
Primary,13 years,NA
Primary,16+ years,NA
Primary,13 years,NA
Illiterate,14 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Secondary,13 years,NA
,13 years,NA
Secondary,14 years,NA
Primary,14 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Primary,13 years,NA
Primary,14 years,NA
Primary,13 years,38.18
Primary,13 years,40
Sr secondary,14 years,38.18
Secondary,14 years,29.09
Primary,14 years,29.09
Primary,14 years,36.36
Sr secondary,13 years,43.64
Sr secondary,13 years,30.91
Primary,14 years,38.18
Illiterate,14 years,23.64
Primary,14 years,30.91
Secondary,13 years,52.73
Secondary,13 years,60
Secondary,14 years,60
Primary,13 years,60
Secondary,13 years,54.55
Primary,13 years,54.55
Sr secondary,13 years,40
Primary,14 years,54.55
Primary,14 years,NA
Primary,14 years,NA
,15 years,36.36
Illiterate,15 years,14.55
Illiterate,13 years,NA
Secondary,14 years,NA
Secondary,13 years,30.91
Sr secondary,14 years,34.55
,14 years,NA
Secondary,15 years,20
,12 years,27.27
Illiterate,13 years,NA
Primary,13 years,NA
Secondary,13 years,40
Illiterate,14 years,40
Illiterate,14 years,NA
Primary,14 years,27.27
Illiterate,13 years,32.73
Illiterate,13 years,NA
,12 years,NA
Secondary,12 years,32.73
Secondary,13 years,38.18
Secondary,14 years,NA
Secondary,13 years,NA
,14 years,32.73
Secondary,13 years,30.91
Illiterate,13 years,NA
Primary,14 years,NA
Sr secondary,13 years,52.73
Secondary,15 years,NA
Illiterate,13 years,NA
Primary,14 years,36.36
Primary,14 years,NA
Illiterate,13 years,32.73
Primary,14 years,27.27
Sr secondary,14 years,NA
Illiterate,14 years,NA
Primary,13 years,43.64
Sr secondary,12 years,50.91
,,NA
Sr secondary,13 years,NA
Primary,13 years,50.91
Primary,14 years,52.73
,14 years,NA
Primary,12 years,NA
Secondary,13 years,36.36
Secondary,13 years,40
Secondary,13 years,NA
Degree & above,12 years,45.45
Sr secondary,13 years,38.18
Illiterate,13 years,32.73
Secondary,12 years,NA
Primary,13 years,NA
Secondary,14 years,54.55
Secondary,14 years,NA
Secondary,14 years,NA
Illiterate,16+ years,41.82
Secondary,13 years,38.18
Secondary,14 years,NA
Secondary,13 years,NA
Sr secondary,13 years,43.64
Primary,16+ years,45.45
Sr secondary,12 years,NA
Sr secondary,,20
Secondary,16+ years,NA
Illiterate,13 years,NA
Secondary,14 years,27.27
Secondary,13 years,50.91
Degree & above,12 years,NA
Degree & above,13 years,NA
Sr secondary,13 years,52.73
Sr secondary,14 years,47.27
Secondary,13 years,NA
Secondary,14 years,NA
Primary,16+ years,14.55
Primary,16+ years,40
Primary,15 years,NA
Primary,13 years,NA
Primary,13 years,40
Primary,14 years,40
Primary,13 years,NA
,13 years,32.73
Primary,13 years,30.91
Primary,13 years,NA
Primary,13 years,NA
Primary,13 years,14.55
Primary,15 years,27.27
Primary,15 years,NA
,13 years,NA
Primary,13 years,21.82
Primary,16+ years,32.73
Secondary,12 years,NA
Secondary,14 years,NA
Secondary,14 years,21.82
Secondary,14 years,20
Primary,13 years,NA
Secondary,,NA
Secondary,,10.91
Secondary,13 years,25.45
Secondary,14 years,NA
Secondary,14 years,NA
Primary,13 years,38.18
Primary,14 years,7.27
Secondary,15 years,NA
Secondary,13 years,20
,15 years,NA
Primary,13 years,25.45
Sr secondary,13 years,27.27
Secondary,13 years,NA
Secondary,15 years,NA
Secondary,16+ years,16.36
Primary,14 years,50.91
Sr secondary,15 years,NA
Secondary,14 years,NA
Sr secondary,13 years,25.45
Secondary,14 years,54.55
,14 years,NA
Secondary,13 years,NA
Illiterate,14 years,32.73
Secondary,13 years,47.27
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,21.82
Sr secondary,15 years,43.64
Illiterate,15 years,NA
Illiterate,16+ years,NA
Secondary,14 years,30.91
Secondary,13 years,50.91
Degree & above,13 years,NA
Secondary,14 years,NA
Secondary,14 years,63.64
Secondary,13 years,49.09
Secondary,14 years,NA
Secondary,13 years,NA
Degree & above,14 years,76.36
Sr secondary,13 years,45.45
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,40
Secondary,13 years,41.82
Secondary,13 years,NA
Secondary,14 years,NA
Sr secondary,13 years,25.45
Secondary,14 years,25.45
Sr secondary,13 years,NA
Sr secondary,13 years,NA
Secondary,13 years,34.55
Secondary,12 years,34.55
Primary,13 years,NA
Primary,13 years,NA
Primary,13 years,30.91
Sr secondary,14 years,54.55
Sr secondary,13 years,NA
Sr secondary,13 years,38.18
Primary,14 years,52.73
Secondary,13 years,NA
Secondary,14 years,NA
Secondary,13 years,49.09
Primary,13 years,34.55
Primary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,41.82
Primary,13 years,49.09
Primary,,NA
,13 years,NA
Secondary,,27.27
Secondary,,32.73
Primary,13 years,NA
Sr secondary,14 years,NA
Sr secondary,13 years,29.09
Sr secondary,13 years,25.45
Primary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,27.27
Secondary,13 years,43.64
Primary,13 years,NA
Primary,14 years,NA
Secondary,13 years,29.09
Secondary,14 years,43.64
Primary,13 years,NA
Primary,,NA
,13 years,23.64
Secondary,,45.45
Secondary,13 years,NA
Secondary,13 years,NA
Sr secondary,13 years,61.82
,13 years,63.64
,13 years,NA
Primary,14 years,NA
,14 years,32.73
Secondary,14 years,29.09
Degree & above,12 years,NA
Secondary,12 years,NA
Primary,14 years,29.09
Sr secondary,13 years,34.55
Secondary,14 years,NA
Secondary,13 years,NA
Primary,14 years,12.73
Secondary,14 years,34.55
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,14 years,32.73
Secondary,13 years,30.91
Secondary,15 years,NA
Secondary,15 years,23.64
Secondary,11- years,30.91
Secondary,13 years,NA
Secondary,14 years,NA
Illiterate,14 years,30.91
Sr secondary,14 years,27.27
Secondary,14 years,NA
Secondary,13 years,NA
Illiterate,14 years,25.45
,14 years,36.36
Secondary,14 years,NA
Primary,13 years,NA
Secondary,14 years,23.64
Sr secondary,13 years,29.09
Secondary,14 years,NA
Secondary,14 years,18.18
Secondary,13 years,40
Sr secondary,13 years,NA
Secondary,14 years,43.64
Illiterate,14 years,NA
Illiterate,15 years,NA
Illiterate,12 years,NA
Illiterate,15 years,30.91
Illiterate,14 years,30.91
Illiterate,15 years,NA
Illiterate,14 years,30.91
,13 years,45.45
Illiterate,14 years,NA
Illiterate,14 years,NA
Illiterate,15 years,30.91
Illiterate,15 years,40
Illiterate,14 years,NA
Primary,15 years,NA
,15 years,NA
,13 years,NA
Illiterate,13 years,20
Illiterate,13 years,NA
Illiterate,14 years,NA
Illiterate,14 years,30.91
Secondary,13 years,NA
Primary,15 years,NA
Illiterate,12 years,25.45
Secondary,14 years,30.91
Secondary,14 years,NA
Secondary,13 years,NA
Illiterate,14 years,32.73
,15 years,NA
Illiterate,14 years,NA
Primary,15 years,NA
,14 years,NA
Illiterate,16+ years,NA
Illiterate,15 years,NA
Secondary,13 years,NA
Primary,16+ years,NA
Secondary,13 years,27.27
Secondary,13 years,NA
Primary,14 years,NA
Secondary,14 years,34.55
Secondary,14 years,40
Primary,13 years,NA
Primary,15 years,NA
Illiterate,15 years,30.91
Secondary,16+ years,40
Illiterate,16+ years,NA
Secondary,15 years,NA
,,20
Illiterate,14 years,NA
Illiterate,14 years,32.73
Illiterate,14 years,34.55
Illiterate,14 years,NA
Illiterate,15 years,27.27
Illiterate,14 years,20
Secondary,14 years,NA
,13 years,NA
Primary,13 years,34.55
Illiterate,12 years,NA
Primary,12 years,NA
,16+ years,21.82
Primary,13 years,NA
Primary,16+ years,NA
Primary,16+ years,23.64
Primary,15 years,40
Illiterate,,NA
Illiterate,12 years,NA
Primary,14 years,14.55
Illiterate,14 years,25.45
Primary,13 years,NA
Illiterate,13 years,43.64
Primary,11- years,NA
Primary,13 years,NA
Illiterate,13 years,32.73
Primary,14 years,NA
Illiterate,14 years,NA
Illiterate,13 years,45.45
Primary,14 years,52.73
Illiterate,14 years,NA
Secondary,14 years,NA
Secondary,14 years,23.64
Secondary,13 years,34.55
Illiterate,14 years,NA
Illiterate,14 years,NA
Illiterate,13 years,50.91
Primary,13 years,32.73
Primary,13 years,NA
Primary,14 years,NA
Primary,13 years,16.36
Primary,13 years,36.36
Primary,13 years,NA
,13 years,NA
Primary,13 years,50.91
Primary,13 years,32.73
Primary,13 years,NA
Illiterate,14 years,NA
Illiterate,13 years,36.36
Primary,13 years,23.64
Illiterate,13 years,NA
Primary,13 years,NA
Sr secondary,15 years,32.73
Primary,14 years,21.82
Primary,14 years,NA
Primary,13 years,NA
Primary,13 years,32.73
Primary,13 years,43.64
Primary,14 years,NA
Primary,14 years,NA
Illiterate,14 years,36.36
Primary,15 years,NA
Primary,14 years,NA
Primary,13 years,34.55
Primary,15 years,21.82
Primary,14 years,NA
Primary,13 years,NA
Primary,13 years,43.64
Primary,14 years,29.09
Secondary,12 years,NA
Illiterate,13 years,NA
Primary,15 years,34.55
Primary,15 years,41.82
,14 years,NA
Sr secondary,13 years,NA
Secondary,13 years,32.73
Secondary,14 years,21.82
Secondary,12 years,NA
Secondary,14 years,NA
Secondary,13 years,38.18
Illiterate,13 years,32.73
Primary,12 years,NA
Primary,14 years,NA
Sr secondary,16+ years,70.91
Secondary,13 years,27.27
Primary,,NA
Secondary,13 years,NA
Secondary,13 years,34.55
Secondary,,30.91
Primary,15 years,NA
Secondary,12 years,NA
Secondary,15 years,25.45
Sr secondary,13 years,32.73
Sr secondary,12 years,NA
,,NA
Illiterate,13 years,NA
Illiterate,15 years,NA
,13 years,NA
Sr secondary,15 years,21.82
Illiterate,14 years,45.45
Sr secondary,14 years,NA
Illiterate,12 years,20
Secondary,14 years,NA
Degree & above,13 years,NA
Secondary,14 years,34.55
Sr secondary,13 years,47.27
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,13 years,40
Sr secondary,14 years,45.45
Secondary,13 years,NA
Secondary,14 years,NA
Secondary,14 years,40
Sr secondary,13 years,34.55
Sr secondary,14 years,NA
Sr secondary,14 years,NA
Sr secondary,14 years,47.27
Sr secondary,14 years,54.55
Primary,13 years,NA
Degree & above,14 years,NA
,13 years,52.73
Sr secondary,15 years,56.36
Sr secondary,13 years,NA
Sr secondary,13 years,NA
Secondary,14 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Secondary,14 years,NA
Secondary,14 years,NA
Primary,16+ years,NA
Illiterate,14 years,NA
Illiterate,,NA
Illiterate,14 years,NA
Secondary,14 years,NA
Illiterate,13 years,NA
Primary,14 years,NA
Illiterate,,NA
Primary,14 years,NA
Illiterate,12 years,NA
Secondary,14 years,NA
Illiterate,14 years,NA
Sr secondary,11- years,NA
,13 years,NA
Primary,12 years,NA
Illiterate,14 years,NA
Degree & above,14 years,NA
Primary,14 years,NA
Illiterate,15 years,32.73
Illiterate,14 years,34.55
Illiterate,14 years,NA
Primary,12 years,NA
Illiterate,15 years,29.09
Illiterate,14 years,20
Illiterate,14 years,NA
Illiterate,13 years,NA
Illiterate,14 years,18.18
Illiterate,14 years,47.27
Illiterate,13 years,NA
Illiterate,13 years,NA
Illiterate,14 years,30.91
Illiterate,13 years,36.36
Illiterate,13 years,NA
Illiterate,14 years,NA
Illiterate,14 years,21.82
Illiterate,14 years,38.18
Secondary,13 years,NA
Degree & above,13 years,58.18
Degree & above,13 years,56.36
Sr secondary,14 years,NA
,13 years,NA
Sr secondary,13 years,NA
Degree & above,,40
Secondary,13 years,NA
Secondary,14 years,25.45
,14 years,49.09
Secondary,13 years,NA
Secondary,13 years,NA
Sr secondary,13 years,49.09
Degree & above,13 years,56.36
Sr secondary,13 years,NA
Sr secondary,14 years,NA
Degree & above,13 years,50.91
Secondary,13 years,60
,13 years,NA
Secondary,14 years,NA
Illiterate,14 years,NA
Secondary,13 years,NA
Secondary,14 years,21.82
Secondary,14 years,18.18
Secondary,15 years,NA
Secondary,14 years,NA
Secondary,16+ years,9.09
Illiterate,15 years,40
,14 years,NA
,14 years,NA
Secondary,13 years,34.55
Secondary,12 years,23.64
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,15 years,34.55
,16+ years,16.36
,13 years,NA
,14 years,NA
Secondary,16+ years,25.45
Secondary,15 years,36.36
Secondary,14 years,NA
Primary,14 years,NA
Secondary,15 years,38.18
Secondary,13 years,NA
Secondary,14 years,30.91
,16+ years,23.64
Secondary,14 years,NA
,13 years,NA
Secondary,16+ years,34.55
Secondary,14 years,14.55
Secondary,14 years,NA
Secondary,14 years,23.64
Primary,15 years,23.64
Primary,14 years,23.64
Secondary,16+ years,12.73
Primary,14 years,21.82
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,14 years,14.55
Primary,13 years,14.55
Sr secondary,14 years,NA
Illiterate,16+ years,NA
Primary,13 years,41.82
Primary,,27.27
,,NA
Secondary,14 years,NA
Secondary,14 years,23.64
Secondary,13 years,38.18
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,14 years,38.18
Secondary,13 years,32.73
Secondary,13 years,NA
Primary,14 years,NA
Secondary,14 years,36.36
Sr secondary,,23.64
Secondary,14 years,NA
Secondary,13 years,NA
Sr secondary,14 years,36.36
Secondary,14 years,21.82
Secondary,16+ years,NA
Secondary,16+ years,NA
Secondary,15 years,38.18
Sr secondary,16+ years,27.27
Primary,16+ years,NA
Secondary,14 years,NA
Sr secondary,16+ years,27.27
Secondary,14 years,29.09
Secondary,16+ years,NA
Primary,13 years,NA
,15 years,NA
Secondary,13 years,23.64
Secondary,14 years,40
Secondary,14 years,49.09
Secondary,13 years,38.18
Secondary,13 years,NA
Illiterate,14 years,NA
Secondary,13 years,NA
Primary,12 years,NA
Secondary,13 years,NA
Primary,13 years,NA
Primary,14 years,41.82
Illiterate,14 years,45.45
Illiterate,15 years,NA
Secondary,13 years,NA
Primary,13 years,NA
,14 years,NA
Primary,14 years,27.27
Primary,14 years,27.27
Primary,14 years,NA
Secondary,14 years,NA
Secondary,,23.64
Sr secondary,14 years,NA
Secondary,14 years,30.91
,14 years,32.73
Sr secondary,14 years,NA
Sr secondary,13 years,40
Secondary,16+ years,NA
Primary,13 years,NA
Secondary,13 years,23.64
Secondary,13 years,25.45
Sr secondary,14 years,30.91
Sr secondary,14 years,NA
Degree & above,14 years,NA
Sr secondary,13 years,34.55
Secondary,13 years,NA
,14 years,NA
Secondary,13 years,NA
Sr secondary,14 years,38.18
Primary,13 years,NA
Primary,13 years,NA
Primary,14 years,56.36
Primary,14 years,52.73
Primary,13 years,NA
Primary,14 years,NA
Primary,14 years,30.91
Primary,13 years,52.73
Secondary,13 years,NA
Primary,14 years,NA
Primary,13 years,58.18
Primary,13 years,56.36
Primary,14 years,NA
Primary,14 years,NA
Primary,13 years,45.45
Primary,13 years,23.64
Primary,13 years,NA
Secondary,13 years,NA
Secondary,13 years,23.64
Illiterate,13 years,49.09
Degree & above,13 years,NA
Secondary,13 years,NA
Secondary,13 years,30.91
Sr secondary,13 years,NA
Sr secondary,14 years,NA
Sr secondary,14 years,NA
Illiterate,14 years,30.91
Secondary,14 years,41.82
Sr secondary,14 years,NA
Secondary,13 years,36.36
Secondary,13 years,32.73
,14 years,NA
,,NA
Secondary,14 years,23.64
,14 years,16.36
Secondary,14 years,NA
Secondary,13 years,NA
Sr secondary,13 years,50.91
Sr secondary,,38.18
Secondary,13 years,NA
Sr secondary,13 years,NA
Secondary,14 years,20
,14 years,30.91
Secondary,13 years,NA
Sr secondary,14 years,NA
Secondary,14 years,20
Sr secondary,14 years,41.82
Secondary,13 years,NA
Secondary,13 years,NA
Illiterate,13 years,14.55
Primary,13 years,29.09
Secondary,12 years,NA
Sr secondary,14 years,NA
Secondary,12 years,34.55
Secondary,14 years,40
Illiterate,14 years,NA
Primary,14 years,NA
Illiterate,14 years,30.91
Secondary,14 years,38.18
Primary,15 years,NA
Primary,13 years,NA
Secondary,14 years,29.09
Primary,13 years,38.18
,14 years,NA
Illiterate,14 years,NA
Primary,12 years,30.91
Illiterate,13 years,29.09
Secondary,14 years,NA
Primary,13 years,NA
Illiterate,14 years,34.55
Primary,14 years,40
Illiterate,13 years,NA
Secondary,13 years,NA
Illiterate,13 years,25.45
,15 years,27.27
Illiterate,15 years,NA
Primary,12 years,NA
Illiterate,13 years,34.55
Secondary,14 years,0
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,14 years,45.45
Secondary,13 years,54.55
Sr secondary,14 years,32.73
Secondary,13 years,40
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,16+ years,NA
Secondary,14 years,38.18
Secondary,13 years,38.18
Secondary,14 years,49.09
Secondary,13 years,21.82
Secondary,13 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Secondary,14 years,NA
